# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
RAD23A	ENSG00000179262	ENST00000591499	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD23A	ENSG00000179262	ENST00000592268	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RAD23A	ENSG00000179262	ENST00000593114	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RB1	ENSG00000139687	ENST00000267163	protein_coding	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000467505	nonsense_mediated_decay	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000484879	processed_transcript	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000525036	retained_intron	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000531171	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RNU7-20P	ENSG00000251712	ENST00000515903	snRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RP1-92O14.3	ENSG00000234694	ENST00000424948	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RP11-231C18.3	ENSG00000282278	ENST00000507166	protein_coding	0	1	2	3	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0
RP11-295I5.3	ENSG00000274987	ENST00000612734	antisense	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RP11-305D15.8	ENSG00000277684	ENST00000613946	antisense	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
RP11-731J8.1	ENSG00000242431	ENST00000486904	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
RP11-770J1.3	ENSG00000255435	ENST00000525992	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RP11-770J1.3	ENSG00000255435	ENST00000528578	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RP11-770J1.3	ENSG00000255435	ENST00000532597	antisense	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
RP11-770J1.3	ENSG00000255435	ENST00000554407	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RP11-770J1.3	ENSG00000255435	ENST00000556583	antisense	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
RPL21P4	ENSG00000240828	ENST00000497954	processed_pseudogene	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
SF3B1	ENSG00000115524	ENST00000335508	protein_coding	0	1	2	15	0	0	0	0	0	0	15	2	0	0	0	1	0	1	0
SF3B1	ENSG00000115524	ENST00000409915	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	ENST00000414174	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	ENST00000414963	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	ENST00000424674	protein_coding	0	0	0	14	0	0	0	0	0	0	3	0	0	0	0	0	0	0	11
SF3B1	ENSG00000115524	ENST00000462613	processed_transcript	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9
SF3B1	ENSG00000115524	ENST00000468925	retained_intron	0	0	0	11	0	0	0	0	9	0	1	0	0	0	0	0	0	0	1
SF3B1	ENSG00000115524	ENST00000470268	retained_intron	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	ENST00000479532	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
SF3B1	ENSG00000115524	ENST00000482158	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	ENST00000487698	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SF3B1	ENSG00000115524	ENST00000496458	retained_intron	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11
SNORA4	ENSG00000202434	ENST00000365564	snoRNA	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11
TP53	ENSG00000141510	ENST00000269305	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000420246	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000445888	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000455263	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000503591	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504290	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000504937	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000505014	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000508793	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000509690	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000510385	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000514944	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000574684	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000576024	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000604348	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610292	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610538	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000610623	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000615910	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000617185	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000618944	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000619186	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000619485	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000620739	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000622645	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000635293	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WT1	ENSG00000184937	ENST00000332351	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
WT1	ENSG00000184937	ENST00000379077	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
WT1	ENSG00000184937	ENST00000379079	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
WT1	ENSG00000184937	ENST00000448076	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
WT1	ENSG00000184937	ENST00000452863	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
WT1	ENSG00000184937	ENST00000527775	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1	ENSG00000184937	ENST00000530998	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS	ENSG00000183242	ENST00000395900	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
WT1-AS	ENSG00000183242	ENST00000442957	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS	ENSG00000183242	ENST00000459866	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS	ENSG00000183242	ENST00000478367	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS	ENSG00000183242	ENST00000494911	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
WT1-AS	ENSG00000183242	ENST00000525436	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS	ENSG00000183242	ENST00000612620	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS	ENSG00000183242	ENST00000615677	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS_1	ENSG00000278822	ENST00000619639	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS_2	ENSG00000273677	ENST00000613208	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS_3	ENSG00000278045	ENST00000613262	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS_6	ENSG00000276530	ENST00000614919	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WT1-AS_7	ENSG00000273908	ENST00000426618	misc_RNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZAR1L	ENSG00000189167	ENST00000533490	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
